Model,RMSE,MAE
LSTM,0.0007073305791261,0.0005197918509043
LSTM,0.0013082378706649,0.0011388121856509
Transformer,0.0013948958442281,0.0012726007459975
Transformer,0.0008736349834756,0.0007421421561646
TCN,0.0014853866841036,0.0013564786632818
TCN,0.0019459753483241538,0.0017994614142845772
